timestamp,open,high,low,close,volume
2025-02-16,194.42,196.23,186.0,188.32,119258.10261688
2025-02-17,188.32,189.71,174.6,177.39,301507.38142459
2025-02-18,177.52,179.0,160.8,169.21,486235.4789562
2025-02-19,169.21,174.21,163.69,168.86,289775.34769545
2025-02-20,168.9,176.59,167.69,176.08,181503.91609995
2025-02-21,176.08,180.52,167.06,168.81,213390.7030157
2025-02-22,168.81,174.67,168.03,172.06,59497.27369792
2025-02-23,172.08,173.05,166.54,167.99,93186.58619212
2025-02-24,167.99,169.71,137.68,141.85,507654.5193795
2025-02-25,141.83,146.83,131.79,144.13,547476.52404853
2025-02-26,144.13,145.01,129.71,135.09,366503.86885724
2025-02-27,135.15,142.62,134.57,137.54,265777.65687906
2025-02-28,137.54,148.5,125.38,148.08,533919.32677959
2025-03-01,148.11,151.09,138.54,143.64,162526.06551917
2025-03-02,143.64,180.0,140.11,178.7,827931.39236254
2025-03-03,178.78,179.34,139.15,142.0,489708.65199217
2025-03-04,142.0,146.84,130.49,144.77,586717.77920355
2025-03-05,144.75,149.66,140.18,146.31,386309.65290253
